数据年月,商品编码,商品名称,美元
201709,4006,其他形状（例如，杆、...,1981045
201709,4007,硫化橡胶线及绳,5398617
201709,4008,硫化橡胶（硬质橡胶除...,23312400
201709,4009,硫化橡胶（硬质橡胶除...,71382771
201709,4010,硫化橡胶制的输送带或...,58179611
201709,4011,新的充气橡胶轮胎,1113175693
201709,4012,翻新的或旧的充气橡胶...,11338895
201709,4013,橡胶内胎,32490826
201709,4014,硫化橡胶（硬质橡胶除...,15547624
201709,4015,硫化橡胶（硬质橡胶除...,49419392
201709,4016,硫化橡胶（硬质橡胶除...,178780591
201709,4017,各种形状的硬质橡胶（...,2560045
201709,4101,生牛皮（包括水牛皮）...,1114868
201709,4104,经鞣制的不带毛牛皮（...,553258
201709,4105,经鞣制的不带毛绵羊或...,864514
201709,4106,经鞣制的其他不带毛动...,487009
201709,4107,经鞣制或半硝处理后进...,38372742
201709,4112,经鞣制或半硝处理后进...,2362137
201709,4113,鞣制或半硝处理后进一...,5445899
201709,4114,油鞣皮革（包括结合鞣...,1030788
201709,4115,以皮革或皮革纤维为基...,1070798
201709,4201,各种材料制成的鞍具及...,62985966
201709,4202,衣箱、提箱、小手袋、...,2193129931
201709,4203,皮革或再生皮革制的衣...,125245465
201709,4205,皮革或再生皮革的其他...,41840927
201709,4301,生毛皮（包括适合加工...,120000
201709,4302,未缝制或已缝制（不加...,6154443
201709,4303,毛皮制的衣服、衣着附...,379508682
201709,4304,人造毛皮及其制品,2705953
201709,4401,薪柴（圆木段、块、枝...,442820
201709,4402,木炭（包括果壳炭及果...,10947263
201709,4403,原木，不论是否去皮、...,3221888
201709,4404,箍木；木劈条；已削尖...,244902
201709,4405,木丝；木粉,141741
201709,4406,铁道及电车道枕木,100
201709,4407,经纵锯、纵切、刨切或...,15749804
201709,4408,饰面用单板（包括刨切...,26080356
201709,4409,任何一边、端或面制成...,32812110
201709,4410,碎料板、定向刨花板（...,6970420
201709,4411,木纤维板或其他木质材...,78072861
201709,4412,胶合板、单板饰面板及...,332439298
201709,4413,强化木，成块、板、条...,546376
201709,4414,木制的画框、相框、镜...,40024171
201709,4415,包装木箱、木盒、板条...,5090982
201709,4416,木制的大桶、琵琶桶、...,323247
201709,4417,木制的工具、工具支架...,19363796
201709,4418,建筑用木工制品，包括...,97794028
201709,4419,木制餐具及厨房用具,71948311
201709,4420,镶嵌木（包括细工镶嵌...,100524948
201709,4421,其他木制品,197842996
201709,4501,未加工或简单加工的天...,42918
201709,4503,天然软木制品,31180
201709,4504,压制软木（不论是否使...,1672211
201709,4601,用编结材料编成的缏条...,18520349
201709,4602,用编结材料直接编成或...,90345536
201709,4702,化学木浆、溶解级,13266
201709,4703,烧碱木浆或硫酸盐木浆...,519266
201709,4704,亚硫酸盐木浆，但溶解...,5200
201709,4705,用机械与化学联合制浆...,48
201709,4706,从回收（废料）纸或纸...,10644848
201709,4707,回收（废碎）纸或纸板,19820
201709,4801,成卷或成张的新闻纸,1193513
201709,4802,书写、印刷或类似用途...,79762711
201709,4803,卫生纸、面巾纸、餐巾...,20133896
201709,4804,成卷或成张的其他未经...,7363814
201709,4805,成卷或成张的其他未经...,50399220
201709,4806,成卷或成张的植物羊皮...,9877247
201709,4807,成卷或成张的复合纸及...,2902383
201709,4808,成卷成张的瓦楞纸及纸...,5647336
201709,4809,复写纸、自印复写纸及...,14551414
201709,4810,成卷或成张矩形（包括...,241035189
201709,4811,成卷或成张矩形（包括...,129372194
201709,4812,纸浆制的滤块、滤板及...,1905342
201709,4813,卷烟纸，不论是否切成...,6858307
201709,4814,壁纸及类似品；窗用透...,24921665
201709,4816,复写纸、自印复写纸及...,13038604
201709,4817,纸或纸板制的信封、封...,12407381
201709,4818,卫生纸及类似纸、家庭...,170729947
201709,4819,纸、纸板、纤维素絮纸...,420193310
201709,4820,纸或纸板制的登记本、...,129898793
201709,4821,纸或纸板制的各种标签...,64374184
201709,4822,纸浆、纸或纸板（不论...,3659333
201709,4823,切成一定尺寸或形状的...,170159831
201709,4901,书籍、小册子、散页印...,112798723
201709,4902,报纸、杂志及期刊，不...,1512831
201709,4903,儿童图画书、绘画或涂...,56748201
201709,4904,乐谱原稿或印本，不论...,13666
201709,4905,各种印刷的地图、水道...,2445553
201709,4906,手绘的建筑、工程、工...,701471
201709,4907,在承认或将承认其面值...,8812866
201709,4908,转印贴花纸（移画印花...,13363593
201709,4909,印刷或有图画明信片；...,85042193
201709,4910,印刷的各种日历，包括...,18330532
201709,4911,其他印刷品，包括印刷...,75376458
201709,5002,生丝（未加捻）,28873499
201709,5003,废丝（包括不适于缫丝...,2610697
201709,5004,丝纱线（绢纺纱线除外...,8922257
201709,5005,绢纺纱线，非供零售用,4013761
201709,5006,丝纱线及绢纺纱线，供...,43467
201709,5007,丝或绢丝机织物,42083531
201709,5101,未梳的羊毛,3033058
201709,5103,羊毛及动物细毛或粗毛...,847267
201709,5105,已梳的羊毛及动物细毛...,54193555
201709,5106,粗梳羊毛纱线，非供零...,5143631
201709,5107,精梳羊毛纱线，非供零...,23624336
201709,5108,动物细毛（粗梳或精梳...,23392966
201709,5109,羊毛或动物细毛的纱线...,4097583
201709,5110,动物粗毛或马毛的纱线...,36198
201709,5111,粗梳羊毛或粗梳动物细...,10163287
201709,5112,精梳羊毛或精梳动物细...,28166184
201709,5113,动物粗毛或马毛机织物,102272
201709,5201,未梳的棉花,2936177
201709,5202,废棉（包括废棉纱线及...,43953
201709,5204,棉制缝纫线，不论是否...,1143562
201709,5205,棉纱线（缝纫线除外）...,111923253
201709,5206,棉纱线（缝纫线除外）...,34228337
201709,5207,棉纱线（缝纫线除外）...,1357815
201709,5208,棉机织物，按重量计含...,668454106
201709,5209,棉机织物，按重量计含...,203520465
201709,5210,棉机织物，按重量计含...,92435404
201709,5211,棉机织物，按重量计含...,194344228
201709,5212,其他棉机织物,13651180
201709,5301,亚麻，生的或已经加工...,228307
201709,5302,大麻，生的或已经加工...,9908
201709,5305,椰壳纤维、蕉麻（马尼...,129345
201709,5306,亚麻纱线,22201976
201709,5307,黄麻纱线或品目530...,162573
201709,5308,其他植物纺织纤维纱线...,2062470
201709,5309,亚麻机织物,34399881
201709,5310,黄麻或品目5303的...,553381
201709,5311,其他纺织用植物纤维机...,13934965
201709,5401,化学纤维长丝纺制的缝...,29875908
201709,5402,合成纤维长丝纱线（缝...,345734957
201709,5403,人造纤维长丝纱线（缝...,31059281
201709,5404,截面尺寸≤1mm，细...,13238579
201709,5405,截面尺寸≤1mm，细...,108366
201709,5406,化学纤维长丝纱线（缝...,6373104
201709,5407,合成纤维长丝纱线的机...,903239169
201709,5408,人造纤维长丝纱线的机...,15039991
